,2004_AVERAGE_SCORE,2005_AVERAGE_SCORE,2006_AVERAGE_SCORE,2007_AVERAGE_SCORE,2008_AVERAGE_SCORE,2009_AVERAGE_SCORE,2010_AVERAGE_SCORE,2011_AVERAGE_SCORE,2012_AVERAGE_SCORE,2013_AVERAGE_SCORE,2014_AVERAGE_SCORE
University of Hartford,12986,15144,14242,12173,12286,12350,12176,12228,13281,14568,14459
Quinnipiac University,14163,15111,17486,17344,17392,17571,17529,17512,17529,18659,18777
Sacred Heart University,23759,24507,24457,28914,29439,28374,28377,28274,29566,27368,28376
Yale University,28995,28912,28945,28955,28962,28880,28895,28852,28910,28831,28866
Delaware State University,13185,12853,13801,13716,14308,13840,14048,14312,14184,16420,16303
University of Delaware,17185,18312,19558,18197,19318,19247,19392,19377,20481,20507,20584
American University,15547,15738,14324,14470,14807,15935,15880,15815,15694,15677,15876
George Washington University,18676,18378,18636,18639,18751,18702,18715,18782,17627,18904,18762
Georgetown University,16329,18396,19672,16219,18512,19563,19679,20785,20741,19663,20719
Howard University,18091,18217,17783,18091,17358,17773,18010,18304,18349,18349,18375
Bethune-Cookman University,13767,13626,15599,15607,15946,16471,15908,16368,16279,16225,16355
University of Central Florida,15333,15195,15457,15422,15503,15524,15572,15773,15555,15585,15764
Florida A&M University,14598,14572,15610,14078,14041,14662,13577,15148,14636,15299,14330
Florida Atlantic University,14886,15907,16636,16932,16382,16140,16596,17602,17573,17011,17487
Florida International University,14887,15903,13945,16014,16340,16116,16410,16375,16093,15480,15495
Florida State University,18325,18384,18292,18187,18226,18621,18640,18637,18612,18497,18483
University of Florida,19253,19424,19359,19155,19366,19417,20485,20486,20548,20780,20683
Jacksonville University,12735,12790,13239,12979,12996,13323,15322,15518,15411,15644,15296
University of Miami (Florida),16603,16411,16306,16525,15651,15305,14142,15504,15524,15599,15431
University of North Florida,385,329,16191,15701,16365,16411,16369,16575,16607,17086,17474
University of South Florida,16635,15092,15851,15756,16227,16475,17550,17605,17559,17754,16654
Stetson University,13430,12184,12226,12286,13249,13176,13585,13278,13628,14610,14343
Georgia Regents University Augusta,1962,1841,1862,1840,1875,2000,2000,1925,1972,2000,2000
Georgia Institute of Technology,16592,16368,16670,16532,16530,16668,16694,16837,16777,16783,16646
Georgia Southern University,13882,13731,13922,14235,14277,14317,14291,14556,14512,14415,15661
Georgia State University,13454,13379,13081,13090,13656,13552,13414,13452,14312,14613,14731
University of Georgia,19061,19323,19415,19359,19300,19668,19624,19585,19548,19645,19814
Kennesaw State University,-1683,-1683,12685,13747,13929,15178,15205,15475,15483,16412,16687
Mercer University,12061,12284,11983,12411,12328,12314,12226,13257,13552,13482,15526
Savannah State University,12110,10802,10659,11855,11053,10944,10458,13720,14035,13983,13493
"University of Hawaii, Manoa",17266,17015,17008,17129,17591,17530,17412,17540,17368,17463,17716
Boise State University,15508,15841,16044,17333,17163,18445,18140,18260,17577,18541,18471
Idaho State University,13283,12947,12845,13902,14260,14005,14324,14353,14671,14581,14852
University of Idaho,13249,15073,15410,14948,15409,15438,15651,15088,15319,15042,15481
Bradley University,12800,12545,12657,12719,12746,12733,12680,12710,13827,12655,13853
Chicago State University,12576,11846,12810,12850,12277,12524,12335,12880,13377,12347,13625
DePaul University,14754,14715,14506,14548,14592,14808,14924,14703,14810,14854,14899
Eastern Illinois University,19046,19398,19407,19466,19564,19576,19452,19490,19762,19592,19587
University of Illinois at Chicago,13866,16730,17060,16866,16918,17379,17108,17233,18461,17075,18433
"University of Illinois, Champaign",20594,20414,20472,20417,20546,20671,20566,20634,20744,20755,20773
Illinois State University,18519,18452,18493,18370,18799,18514,18627,18803,18660,18565,18715
Loyola University Chicago,14774,14625,14624,14828,14904,14945,14809,14931,14907,14952,14899
Northern Illinois University,16229,16333,16313,16574,16552,16635,16524,16615,16562,16546,16812
Northwestern University,18835,18594,18773,18817,18885,18909,18843,18958,18940,18960,18900
Southern Illinois University at Carbondale,17202,17260,16953,17444,17521,17249,17300,17442,17563,17504,17625
Southern Illinois University Edwardsville,-1782,-1782,-1782,-1782,-1782,15488,17657,17719,17830,17811,17745
Western Illinois University,19230,19400,19088,19146,19404,19298,19216,19494,18515,18458,19489
Ball State University,18830,18646,18301,18255,18353,18419,18703,18655,18714,17360,17584
Butler University,17684,17630,18328,17910,18834,15614,18877,18650,18641,18870,18889
University of Evansville,12489,12183,13569,13766,13705,13783,13743,13862,13795,13825,13695
"Indiana University-Purdue University, Fort Wayne",13252,15407,15446,15703,15007,15544,15445,15597,15487,15436,15512
Indiana University-Purdue University at Indianapolis,13101,12702,12836,12520,13095,12026,13223,13230,15592,15370,17706
Indiana State University,12420,12656,12262,13689,13365,13626,13704,13655,13565,13671,13644
"Indiana University, Bloomington",23432,21900,23291,22151,23577,23449,23778,23639,23631,23829,23710
University of Notre Dame,25778,25835,25758,25764,25934,25894,25775,25862,25891,25863,25885
Valparaiso University,17418,17453,17454,17230,14199,17219,20379,20717,20528,20722,20693
Drake University,16358,16588,15197,17513,16350,16568,16690,16563,16495,16528,16507
Iowa State University,17308,17255,17083,17490,17585,17669,17520,17470,17695,17500,17593
University of Iowa,23016,23523,23397,23347,23543,23540,23509,23461,23462,23569,23504
University of Northern Iowa,16628,14405,15419,15528,15367,16571,16776,16643,16751,16862,15594
University of Kansas,17222,17275,17438,17594,17518,17564,17564,17596,17396,17553,17403
Kansas State University,14163,14350,14283,14291,14555,14464,14507,14644,14622,14628,14703
Wichita State University,14215,14065,14477,14493,14605,14627,14555,14712,14693,14748,14549
Bellarmine University,-99,-99,828,962,971,947,977,979,994,947,983
Eastern Kentucky University,15399,14894,16198,16360,16122,16527,16660,16441,16570,16704,16641
University of Kentucky,21261,20929,21065,21208,21548,21356,21451,21520,21669,21684,21833
University of Louisville,19845,18826,21213,20984,22158,22551,22452,22367,22565,22674,22822
Morehead State University,14472,13975,14137,14423,14363,15578,15518,15495,15611,15583,15525
Murray State University,13897,14212,13006,14395,14436,14409,15547,14411,14459,15800,15536
Northern Kentucky University,-1683,-1683,-1683,-1683,-1683,-1683,-1683,-1683,-1683,16468,16356
Western Kentucky University,17392,17458,17186,17292,17379,17613,17233,17441,17557,17613,16480
Grambling State University,13897,14034,13878,14524,13704,14213,13324,13412,13939,14213,14059
Louisiana State University,18818,19194,19160,19532,19558,17961,18434,17438,17226,18534,17471
Louisiana Tech University,12527,14675,14788,15234,15605,15507,15477,15345,15234,15390,15383
McNeese State University,14777,14373,14348,14585,15057,15233,15405,15422,15435,15625,15710
